date,province,regency,market,commodity,price_type_id,price_type,nominal_price
2024-12-20,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-12-23,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,
2024-12-24,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2024-12-25,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2024-12-26,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2024-12-27,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2024-12-30,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2024-12-31,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-01,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-02,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-03,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-06,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-07,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-08,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-09,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-10,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-13,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-14,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-15,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-16,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-17,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-20,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-21,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-22,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-23,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,33000.0
2025-01-24,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,50000.0
2025-01-27,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,50000.0
2025-01-28,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,50000.0
2025-01-29,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,50000.0
2025-01-30,Banten,Semua Kota,Semua Pasar,Cabai Merah Besar,4,Produsen,50000.0
